route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_short_name,route_sort_order
Murray Park,3,052465,FFF0D8,,883,https://winnipegtransit.com/routes/883,883,883
Archibald - Ness,3,FFFFFF,026C7E,,D15,https://winnipegtransit.com/routes/D15,D15,439889540
Brookside,3,052465,FFF0D8,,881,https://winnipegtransit.com/routes/881,881,881
Talbot - Selkirk,3,FFFFFF,026C7E,,D17,https://winnipegtransit.com/routes/D17,D17,439896502
Dugald,3,052465,FFF0D8,,887,https://winnipegtransit.com/routes/887,887,887
Southglen - Cottonwood,3,052465,FFFFFF,,558,https://winnipegtransit.com/routes/558,558,558
Rannock - Westwood,3,052465,FFF0D8,,885,https://winnipegtransit.com/routes/885,885,885
Keewatin,3,052465,FFF0D8,,884,https://winnipegtransit.com/routes/884,884,884
Watson - Dr. Jose Rizal,3,052465,FFFFFF,,334,https://winnipegtransit.com/routes/334,334,334
Island Lakes - Morley,3,052465,FFFFFF,,557,https://winnipegtransit.com/routes/557,557,557
Templeton - Tyndall Park,3,052465,FFFFFF,,336,https://winnipegtransit.com/routes/336,336,336
Watt - Windsor Park,3,052465,FFFFFF,,551,https://winnipegtransit.com/routes/551,551,551
Richmond,3,052465,FFFFFF,,662,https://winnipegtransit.com/routes/662,662,662
Amber Trails - Church,3,052465,FFFFFF,,332,https://winnipegtransit.com/routes/332,332,332
Academy,3,FFFFFF,026C7E,,D16_merged_67005,https://winnipegtransit.com/routes/D16,D16,439893021
Rougeau - Plessis,3,052465,FFFFFF,,440,https://winnipegtransit.com/routes/440,440,440
Panet - Adsum,3,FFFFFF,026C7E,,D10,https://winnipegtransit.com/routes/D10,D10,439872135
Dugald,3,052465,FFF0D8,,886,https://winnipegtransit.com/routes/886,886,886
Burrows,3,052465,FFF0D8,,833,https://winnipegtransit.com/routes/833,833,833
Industrial,3,052465,FFF0D8,,690,https://winnipegtransit.com/routes/690,690,690
Whyte Ridge,3,052465,FFF0D8,,691,https://winnipegtransit.com/routes/691,691,691
Ellice,3,FFFFFF,026C7E,,D12,https://winnipegtransit.com/routes/D12,D12,439879097
Wildwood,3,052465,FFF0D8,,694,https://winnipegtransit.com/routes/694,694,694
Charleswood - Cavalier,3,052465,FFFFFF,,223,https://winnipegtransit.com/routes/223,223,223
Sargent,3,FFFFFF,026C7E,,D13,https://winnipegtransit.com/routes/D13,D13,439882578
Arlington - Stafford,3,FFFFFF,052465,,28,https://winnipegtransit.com/routes/28,28,28
Watt - Logan,3,FFFFFF,052465,,43,https://winnipegtransit.com/routes/43,43,43
Regent - Grant,3,FFFFFF,F27EA6,,FX3,https://winnipegtransit.com/routes/FX3,FX3,472127081
Main - St. Mary's,3,FFFFFF,F37043,,FX2,https://winnipegtransit.com/routes/FX2,FX2,472123600
McGillivray,3,052465,FFFFFF,,650,https://winnipegtransit.com/routes/650,650,650
Crestview - Westwood,3,052465,FFFFFF,,220,https://winnipegtransit.com/routes/220,220,220
Salter - Stafford,3,FFFFFF,026C7E,,D11,https://winnipegtransit.com/routes/D11,D11,439875616
Sherbrook Express - Pembina Express,3,052465,FFF0D8,,889,https://winnipegtransit.com/routes/889,889,889
Academy - Notre Dame,3,FFFFFF,026C7E,,D16_merged_67004,https://winnipegtransit.com/routes/D16,D16,439893021
Tache,3,052465,FFF0D8,,888,https://winnipegtransit.com/routes/888,888,888
Waverley West - Chancellor,3,052465,FFFFFF,,678,https://winnipegtransit.com/routes/678,678,678
Waverley,3,052465,FFFFFF,,679,https://winnipegtransit.com/routes/679,679,679
Concordia - North Kildonan,3,052465,FFFFFF,,442,https://winnipegtransit.com/routes/442,442,442
North Town - Burland,3,052465,FFFFFF,,676,https://winnipegtransit.com/routes/676,676,676
Wilkes,3,052465,FFFFFF,,677,https://winnipegtransit.com/routes/677,677,677
Dalhousie,3,052465,FFFFFF,,671,https://winnipegtransit.com/routes/671,671,671
Killarney,3,052465,FFFFFF,,672,https://winnipegtransit.com/routes/672,672,672
Murray - Grey,3,052465,FFFFFF,,330,https://winnipegtransit.com/routes/330,330,330
Morley,3,052465,FFF0D8,,895,https://winnipegtransit.com/routes/895,895,895
Peguis - Donwood,3,052465,FFFFFF,,446,https://winnipegtransit.com/routes/446,446,446
Kenaston - Keewatin,3,FFFFFF,052465,,74,https://winnipegtransit.com/routes/74,74,74
Aldgate - Meadowood,3,052465,FFFFFF,,552,https://winnipegtransit.com/routes/552,552,552
Notre Dame,3,FFFFFF,026C7E,,D18,https://winnipegtransit.com/routes/D18,D18,439899983
Roblin,3,FFFFFF,052465,,70,https://winnipegtransit.com/routes/70,70,70
St. Norbert,3,052465,FFFFFF,,91,https://winnipegtransit.com/routes/91,91,91
Devonshire - Redonda,3,052465,FFFFFF,,444,https://winnipegtransit.com/routes/444,444,444
Beliveau,3,052465,FFFFFF,,556,https://winnipegtransit.com/routes/556,556,556
McPhillips - Donald,3,FFFFFF,00B262,,F5,https://winnipegtransit.com/routes/F5,F5,464872677
,3,FFFFFF,0064B1,,BLUE,https://winnipegtransit.com/routes/BLUE,BLUE,421313626
Gateway - Portage,3,FFFFFF,6450A1,,FX4,https://winnipegtransit.com/routes/FX4,FX4,472130562
Inkster,3,FFFFFF,052465,,39,https://winnipegtransit.com/routes/39,39,39
Mountain - Munroe,3,FFFFFF,052465,,38,https://winnipegtransit.com/routes/38,38,38
Transcona Blvd - McMeans,3,FFFFFF,052465,,48,https://winnipegtransit.com/routes/48,48,48
McGregor - Osborne,3,FFFFFF,00B262,,F6,https://winnipegtransit.com/routes/F6,F6,465078056
St. Anne's - Provencher,3,FFFFFF,00B262,,F7,https://winnipegtransit.com/routes/F7,F7,465283435
Henderson - Pembina,3,FFFFFF,00B262,,F8,https://winnipegtransit.com/routes/F8,F8,465488814
Lagimodiere - Abinojii Mikanah,3,FFFFFF,00B262,,F9,https://winnipegtransit.com/routes/F9,F9,465694193
Sherwin - Valour,3,052465,FFFFFF,,224,https://winnipegtransit.com/routes/224,224,224
Jefferson,3,FFFFFF,052465,,37,https://winnipegtransit.com/routes/37,37,37
Lindenwoods West,3,052465,FFFFFF,,641,https://winnipegtransit.com/routes/641,641,641
Dugald - Broadway,3,FFFFFF,026C7E,,D14,https://winnipegtransit.com/routes/D14,D14,439886059
River Heights - Cambridge,3,052465,FFFFFF,,680,https://winnipegtransit.com/routes/680,680,680
Taylor - West Taylor,3,052465,FFFFFF,,664,https://winnipegtransit.com/routes/664,664,664
Lindenwoods East,3,052465,FFFFFF,,642,https://winnipegtransit.com/routes/642,642,642
Corydon,3,FFFFFF,026C7E,,D19,https://winnipegtransit.com/routes/D19,D19,439903464
Portage,3,FFFFFF,052465,,22,https://winnipegtransit.com/routes/22,22,22
Chevrier,3,052465,FFFFFF,,649,https://winnipegtransit.com/routes/649,649,649
Waterfront - North Main,3,FFFFFF,052465,,31,https://winnipegtransit.com/routes/31,31,31
