block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_1-4-2,FX4,1,1,Polo Park,3579,1_merged_67009,1298_merged_84827
a_1-28-8,28,1,0,Templeton Walmart,3603,1_merged_67006,4270_merged_68955
a_2-2-2,FX2,1,0,Garden City Centre,3574,2_merged_67008,7626_merged_75579
a_2-22-2,22,1,0,Polo Park,3235,2_merged_67008,9452_merged_67919
b_3-6-3,F6,1,0,Templeton & Salter,3450,3_merged_67010,11544
b_3-6-3,F6,1,1,South St. Vital,3449,3_merged_67010,11545
a_1-31-2,31,1,0,Riverbend,3493,1_merged_67006,4389_merged_73792
b_2-3-3,FX3,1,1,Sturgeon & Murray Park,3475,2_merged_67011,7978_merged_81320
b_1-150-2,650,1,1,Fort Whyte Alive,3338,1_merged_67009,6320_merged_82138
b_1-3-2,FX3,1,0,Redonda & Pandora,3577,1_merged_67009,940_merged_82127
a_1-144-2,444,1,0,Summerlea,3598,1_merged_67006,5983
a_1-144-2,444,1,1,Kildonan Place Hub,3597,1_merged_67006,5984
b_3-43-2,43,1,1,RRC Polytech,3256,3_merged_67010,12986_merged_82036
b_2-91-1,91,1,0,Baylor & Killarney,3278,2_merged_67011,10453_merged_77041
a_1-157-5,557,1,1,Windermere,3324,1_merged_67006,6482_merged_73465
a_1-6-7,F6,1,1,South St. Vital,3447,1_merged_67006,1787_merged_75213
b_1-48-4,48,1,1,Kildonan Place,3260,1_merged_67009,5008_merged_81487
b_3-17-1,D17,1,0,Kildonan Place,3436,3_merged_67010,12413_merged_81419
b_6-22-52,22,1,0,Polo Park,3235,6,15551
a_1-134-2,334,1,1,Waterford Green,3299,1_merged_67006,5681_merged_70590
a_2-2-1,FX2,1,1,St. Vital Centre,3573,2_merged_67008,7608_merged_75243
b_1-4-8,FX4,1,1,Polo Park,3579,1_merged_67009,1419_merged_81854
b_1-70-2,70,1,1,Unicity,3262,1_merged_67009,5063_merged_81186
b_1-3-16,FX3,1,0,Redonda & Pandora,3577,1_merged_67009,1108_merged_81256
b_1-16-13,D16_merged_67005,1,0,Downtown,3694,1_merged_67009,3793_merged_78753
b_1-1-25,BLUE,1,1,University of Manitoba,3397,1_merged_67009,270
a_1-1-27,BLUE,1,1,St. Norbert,3393,1_merged_67006,271
a_1-1-27,BLUE,1,0,Unicity Shopping Centre,3392,1_merged_67006,272
a_1-1-27,BLUE,1,0,Unicity Shopping Centre,3396,1_merged_67006,274
a_1-1-27,BLUE,1,1,St. Norbert,3393,1_merged_67006,275
b_1-1-26,BLUE,1,1,St. Norbert,3393,1_merged_67009,278
b_1-1-26,BLUE,1,0,Unicity Shopping Centre,3392,1_merged_67009,279
a_1-144-2,444,1,1,Kildonan Place Hub,3600,1_merged_67006,6000_merged_75640
a_2-1-15,BLUE,1,1,University of Manitoba,3397,2_merged_67008,7592_merged_74933
